Case No.,Judge,Date of Final Hearing,Matter,Plaintiff,Plaintiff Legal Rep,Defendant,Defendant Legal Rep,Agreement Terms,Alleged Breach,Issues,Plaintiff Arguments,Defendant Arguments,Relief Sought
CS(COMM) 2024/00987,Hon. Justice Rajesh Kumar,"July 10-14, 2024",Breach of Contract and Misappropriation of Trade Secrets,Bharat Solar Ltd.,Mehta & Associates Advocates,Sunrise Energy Pvt. Ltd.,Mehta & Associates Advocates,Joint Development,"Bharat Solar alleges that Sunrise Energy breached the agreement by unlawfully disclosing confidential information to third-party competitors. Specifically, Bharat Solar claims that proprietary designs and technology were shared without consent, resulting in financial losses.",Whether Sunrise Energy breached the joint development agreement.,Bharat Solar argues that Sunrise Energy violated the terms of the joint development agreement by disclosing confidential information.,"Sunrise Energy denies any breach of contract, claiming that the information shared was not covered under the agreement's confidentiality clause.",Permanent injunction preventing Sunrise Energy from using or disclosing any trade secrets belonging to Bharat Solar.
CS(COMM) 2024/08765,Hon. Justice Rajesh Patel,"November 10-15, 2024",Dispute Over Technology Licensing Agreement and Alleged Misuse of Proprietary Information,TechInnovate Solutions Pvt. Ltd.,Patel & Co. Legal Advisors,SmartTech Enterprises Ltd.,Patel & Co. Legal Advisors,Technology Licensing,,Whether SmartTech breached the technology licensing agreement by exceeding the permitted usage and sharing proprietary information with third parties.,TechInnovate argues that SmartTech's unauthorized use and dissemination of proprietary information are clear breaches of the licensing agreement.,"SmartTech denies the allegations, asserting that all usage of the proprietary information was within the agreed terms and that any third-party collaborations were pre-approved by TechInnovate.",Permanent injunction preventing SmartTech from further use and dissemination of the proprietary information.
CS(COMM) 2024/01532,Hon. Justice Neha Deshmukh,"August 21-25, 2024",Breach of Contract and Intellectual Property Infringement,Mumbai Textiles Pvt. Ltd.,Desai & Shah Legal Associates,FashionEdge Retail Ltd.,Desai & Shah Legal Associates,Supply,Mumbai Textiles alleges that FashionEdge violated the agreement by manufacturing garments using their designs without proper authorization and failing to pay the agreed royalties. The plaintiff claims this breach has led to significant financial and reputational damage.,Whether FashionEdge breached the supply agreement with Mumbai Textiles.,Mumbai Textiles argues that FashionEdge knowingly breached the agreement by using their designs without authorization and failed to pay the royalties as stipulated in the contract.,"FashionEdge denies the breach, stating that the designs were legally purchased and that they have fulfilled all contractual obligations.",Permanent injunction preventing FashionEdge from using or selling products that incorporate the copyrighted designs of Mumbai Textiles.
CS(COMM) 2024/02258,Hon. Justice Arvind Raghavan,"September 5-9, 2024",Breach of Partnership Agreement and Unfair Competition,Chennai Tech Solutions,Rao & Rao Advocates,Quantum IT Services Pvt. Ltd.,Rao & Rao Advocates,Partnership,Chennai Tech alleges that Quantum IT breached the partnership agreement by unilaterally terminating the collaboration and launching a competing product using the jointly developed technology. The plaintiff claims that Quantum IT's actions have undermined their business and violated the terms of the agreement.,Whether Quantum IT breached the partnership agreement with Chennai Tech.,Chennai Tech argues that Quantum IT's unilateral termination of the partnership agreement constitutes a breach of contract and that their subsequent actions have caused significant harm to Chennai Tech's business operations.,"Quantum IT denies the breach of contract, asserting that the partnership agreement was terminated due to non-performance by Chennai Tech and that they were within their rights to develop and launch the product independently.",Permanent injunction preventing Quantum IT from using or benefiting from the jointly developed technology.
CS(COMM) 2024/01876,Hon. Justice Sumanth Rao,"October 1-5, 2024",Breach of Franchise Agreement and Trademark Infringement,Spice Villa Restaurants Pvt. Ltd.,Nair & Associates Law Firm,Tasty Bites Franchise Ltd.,Nair & Associates Law Firm,Franchise,Spice Villa alleges that Tasty Bites breached the franchise agreement by failing to maintain the quality standards outlined in the contract. The plaintiff also claims that the defendant withheld royalty payments and improperly used the Spice Villa trademark without authorization.,Whether Tasty Bites breached the franchise agreement with Spice Villa.,"Spice Villa argues that Tasty Bites failed to uphold the quality and operational standards required under the franchise agreement, leading to multiple customer complaints and a decline in brand reputation.","Tasty Bites denies the breach, asserting that they adhered to all contractual obligations and that any quality issues were due to circumstances beyond their control.",Permanent injunction preventing Tasty Bites from using the Spice Villa trademark in any capacity.
CS(COMM) 2024/02147,Hon. Justice Renu Mehra,"September 15-19, 2024",Breach of Service Agreement and Data Privacy Violation,SecureIT Solutions Pvt. Ltd.,Khanna & Kapoor Advocates,Vortex Technologies Ltd.,Khanna & Kapoor Advocates,Service,"SecureIT alleges that Vortex breached the agreement by failing to implement the recommended security measures, leading to unauthorized access and data leaks from the cloud platform. The plaintiff also claims that Vortex accessed SecureIT's proprietary security algorithms without authorization, violating confidentiality terms.",Whether Vortex breached the service agreement with SecureIT.,SecureIT argues that Vortex's failure to implement adequate security measures directly resulted in data breaches that have caused severe financial and reputational damage to SecureIT and its clients.,"Vortex denies the breach, asserting that SecureIT's security recommendations were insufficient to prevent the data breaches and that the unauthorized access was due to external factors beyond their control.",Permanent injunction preventing Vortex from using SecureIT's proprietary algorithms and any further unauthorized access to confidential information.
CS(COMM) 2024/02589,Hon. Justice Vikram Patel,"October 10-14, 2024",Breach of Supply Agreement and Defective Goods,Sunrise Electronics Pvt. Ltd.,Joshi & Desai Advocates,Titan Manufacturing Ltd.,Joshi & Desai Advocates,Supply,Sunrise Electronics alleges that Titan Manufacturing breached the supply agreement by delivering defective electronic components that failed to meet the quality standards outlined in the contract. The plaintiff claims that these defects led to production delays and financial losses.,Whether Titan Manufacturing breached the supply agreement by delivering defective goods.,"Sunrise Electronics argues that Titan Manufacturing's failure to deliver components that met the agreed-upon quality standards constitutes a clear breach of the supply agreement, leading to production delays and increased costs.","Titan Manufacturing denies the breach, asserting that the components delivered met the industry standards and that any defects were due to improper handling or assembly by Sunrise Electronics.",Permanent injunction preventing Titan Manufacturing from supplying defective goods to Sunrise Electronics in the future.
CS(COMM) 2024/03219,Hon. Justice Arvind Krishnan,"September 25-29, 2024",Dispute Over Real Estate Development Agreement and Alleged Fraud,Greenfield Developers Pvt. Ltd.,S. Narayan & Associates,Shree Constructions Ltd.,S. Narayan & Associates,Development,"Greenfield alleges that Shree Constructions failed to acquire the necessary approvals from the local municipal authorities, leading to significant delays in the project. The plaintiff also claims that the defendant misrepresented the financial viability of the project during the negotiation phase, amounting to fraud.",Whether Shree Constructions breached the real estate development agreement.,"Greenfield argues that Shree Constructions' failure to secure the required approvals and subsequent project delays constitute a breach of contract, resulting in financial losses and missed opportunities for the plaintiff.","Shree Constructions denies the breach, asserting that the delays were due to unforeseen regulatory hurdles and that they acted in good faith to resolve these issues.",Permanent injunction preventing Shree Constructions from further involvement in the project and freezing of diverted funds.
CS(COMM) 2024/03876,Hon. Justice Rajesh Prasad,"October 5-10, 2024",Dispute Over Intellectual Property Rights and Infringement,Innovate Tech Solutions Pvt. Ltd.,Rao & Bhat Advocates,Zenith Software Ltd.,Rao & Bhat Advocates,Software Licensing,,Whether Zenith Software breached the software licensing agreement by reverse-engineering the ERP software.,"Innovate Tech argues that Zenith Software's unauthorized reverse-engineering of its ERP software is a clear violation of the licensing agreement, leading to direct financial losses and unfair competition in the market.","Zenith Software denies the breach and infringement allegations, asserting that the development of their product was entirely independent and based on original research and development efforts.","Permanent injunction preventing Zenith Software from using, selling, or distributing the allegedly infringing product."
CS(COMM) 2024/04567,Hon. Justice Anjali Mehra,"November 1-5, 2024",Dispute Over Joint Venture Agreement and Alleged Breach of Fiduciary Duty,FutureTech Ventures Pvt. Ltd.,Kapoor & Sharma Law Associates,Apex Solutions Ltd.,Kapoor & Sharma Law Associates,Joint Venture,"FutureTech alleges that Apex Solutions breached the joint venture agreement by secretly negotiating with third parties and diverting joint venture resources for their own benefit. The plaintiff also claims that Apex Solutions failed to fulfill its financial commitments, causing delays in the project.",Whether Apex Solutions breached the joint venture agreement by diverting resources and failing to meet its obligations.,"FutureTech argues that Apex Solutions' actions, including secret negotiations with third parties and the diversion of joint venture resources, constitute a clear breach of the joint venture agreement.","Apex Solutions denies the allegations, asserting that all actions taken were in the best interest of the joint venture and that FutureTech was fully informed of all decisions.",Permanent injunction preventing Apex Solutions from further involvement in the fintech project.
CS(COMM) 2024/04678,Hon. Justice Anil Sharma,"November 10-15, 2024",Breach of Service Contract and Unauthorized Use of Data,Alpha Solutions Ltd.,Kumar & Associates,Omega Technologies Ltd.,Kumar & Associates,Service Contract,,Whether Omega Technologies breached the service contract by unauthorized use of Alpha Solutions' data.,Alpha Solutions argues that Omega Technologies used their proprietary data without permission, leading to competitive harm.,Omega Technologies denies the breach, stating that all data usage was authorized under the contract terms.,Permanent injunction preventing Omega Technologies from using Alpha Solutions' data.
CS(COMM) 2024/05123,Hon. Justice Rakesh Gupta,"December 1-5, 2024",Dispute Over Real Estate Sale and Alleged Misrepresentation,Prime Realty Ltd.,S. R. Law Associates,Urban Estates Pvt. Ltd.,S. R. Law Associates,Sale Agreement,,Whether Urban Estates misrepresented the condition of the real estate property.,Prime Realty argues that Urban Estates falsely represented the property's condition, leading to financial losses.,Urban Estates denies misrepresentation, claiming the property was sold as-is and all disclosures were made.,Compensation for damages and possible rescission of the sale.
CS(COMM) 2024/05789,Hon. Justice Manisha Kapoor,"December 15-20, 2024",Breach of Licensing Agreement and Patent Infringement,TechWave Innovations Ltd.,Singh & Associates,NextGen Solutions Ltd.,Singh & Associates,Licensing Agreement,,Whether NextGen Solutions infringed on TechWave's patents through unauthorized use.,TechWave alleges that NextGen Solutions used patented technology without a valid license.,NextGen Solutions denies infringement, asserting that their technology is independently developed.,Permanent injunction against the use of the patented technology.
CS(COMM) 2024/06234,Hon. Justice Rajiv Mehta,"January 5-10, 2025",Dispute Over Joint Venture and Financial Mismanagement,GreenTech Ventures Pvt. Ltd.,R. D. Legal Advisors,BlueSky Innovations Ltd.,R. D. Legal Advisors,Joint Venture,,Whether BlueSky Innovations mismanaged finances and violated the joint venture agreement.,GreenTech claims that BlueSky Innovations misappropriated funds and failed to meet financial obligations.,BlueSky Innovations denies the allegations, claiming all financial activities were conducted as per the agreement.,Compensation for financial losses and an audit of joint venture accounts.
CS(COMM) 2024/06789,Hon. Justice Priya Singh,"January 20-25, 2025",Breach of Franchise Agreement and Unauthorized Expansion,Tasty Treats Ltd.,Vikram & Associates,Delightful Bites Ltd.,Vikram & Associates,Franchise Agreement,,Whether Delightful Bites breached the franchise agreement by expanding into unauthorized markets.,Tasty Treats argues that Delightful Bites expanded operations beyond agreed territories, affecting their brand.,Delightful Bites denies the breach, asserting that the expansion was within the terms of the franchise agreement.,Injunction to prevent further expansion and compensation for damages.
CS(COMM) 2024/07234,Hon. Justice Sanjay Verma,"February 1-5, 2025",Breach of Employment Contract and Confidentiality Breach,Innovative Minds Pvt. Ltd.,Agarwal & Co. Legal Advisors,SmartBrain Technologies Ltd.,Agarwal & Co. Legal Advisors,Employment Contract,,Whether SmartBrain Technologies violated the confidentiality terms of the employment contract.,Innovative Minds claims that SmartBrain used confidential information obtained from a former employee.,SmartBrain denies the breach, stating that no confidential information was misused.,Permanent injunction and damages for unauthorized use of confidential information.
CS(COMM) 2024/07890,Hon. Justice Arun Joshi,"February 10-15, 2025",Dispute Over Supply Chain Agreement and Quality Standards,Elite Logistics Ltd.,Mishra & Associates,FastTrack Solutions Ltd.,Mishra & Associates,Supply Chain Agreement,,Whether FastTrack Solutions failed to meet the quality standards agreed upon in the supply chain contract.,Elite Logistics argues that FastTrack delivered substandard goods, affecting their operations.,FastTrack denies the allegations, asserting that all goods met the contractual quality standards.,Compensation for damages and an injunction to ensure compliance with quality standards.
CS(COMM) 2024/08567,Hon. Justice Neeraj Kumar,"February 20-25, 2025",Breach of Intellectual Property Rights and Trade Secret Misuse,TechnoEdge Ltd.,Sharma & Co. Legal Counsel,FutureTech Innovations Ltd.,Sharma & Co. Legal Counsel,Intellectual Property Rights,,Whether FutureTech Innovations misused TechnoEdge's trade secrets.,TechnoEdge alleges that FutureTech used their trade secrets to gain a competitive edge.,FutureTech denies the misuse, claiming that the information was independently developed.,Permanent injunction against the use of trade secrets and compensation for losses.
CS(COMM) 2024/09123,Hon. Justice Anil Rao,"March 1-5, 2025",Dispute Over Software Development Agreement and Breach of Contract,SoftWorks Pvt. Ltd.,Deshmukh & Associates,CodeCraft Ltd.,Deshmukh & Associates,Software Development,,Whether CodeCraft breached the software development agreement by failing to deliver the software as per contract.,SoftWorks claims that CodeCraft's delivery was incomplete and delayed.,CodeCraft denies the breach, asserting that they met all contractual obligations.,Compensation for delays and a performance bond for future compliance.
CS(COMM) 2024/09654,Hon. Justice Manish Gupta,"March 10-15, 2025",Breach of Partnership Agreement and Unlawful Termination,Global Partners Ltd.,Rao & Kumar Advocates,Innovate Enterprises Ltd.,Rao & Kumar Advocates,Partnership Agreement,,Whether Innovate Enterprises unlawfully terminated the partnership and violated agreement terms.,Global Partners argues that Innovate Enterprises terminated the partnership without cause.,Innovate Enterprises denies the claim, asserting that the termination was justified under the agreement.,Reinstatement of partnership and damages for losses incurred.
CS(COMM) 2024/10123,Hon. Justice Priya Sharma,"March 20-25, 2025",Dispute Over Licensing Agreement and Unauthorized Use of Technology,Digital Frontier Ltd.,S. Patel & Associates,TechWave Solutions Ltd.,S. Patel & Associates,Licensing Agreement,,Whether TechWave Solutions violated the licensing agreement by using technology beyond agreed terms.,Digital Frontier claims TechWave exceeded licensed usage limits.,TechWave denies the breach, stating all technology use was within the licensed scope.,Injunction against further unauthorized use and compensation for damages.
CS(COMM) 2024/10678,Hon. Justice Ravi Mehta,"April 1-5, 2025",Breach of Sales Agreement and Defective Products,Prime Sales Ltd.,Singh & Associates,MarketLeader Inc.,Singh & Associates,Sales Agreement,,Whether MarketLeader breached the sales agreement by supplying defective products.,Prime Sales alleges that products supplied by MarketLeader did not meet quality standards.,MarketLeader denies the breach, claiming products were delivered as per agreement.,Compensation for defects and an injunction against further supply of defective products.
CS(COMM) 2024/11123,Hon. Justice Alok Kumar,"April 10-15, 2025",Dispute Over Real Estate Development Agreement and Construction Delays,BuildRight Ltd.,Verma & Co. Legal,UrbanBuild Ltd.,Verma & Co. Legal,Real Estate Development,,Whether UrbanBuild caused delays in construction and failed to meet contractual obligations.,BuildRight claims UrbanBuild's delays led to financial losses.,UrbanBuild denies the delays, stating issues were due to external factors.,Compensation for delays and an audit of project timelines.
CS(COMM) 2024/11678,Hon. Justice Sunita Sharma,"April 20-25, 2025",Breach of Franchise Agreement and Misuse of Brand Name,Elite Eats Pvt. Ltd.,Nair & Associates,FoodMasters Ltd.,Nair & Associates,Franchise Agreement,,Whether FoodMasters breached the franchise agreement by misusing the brand name.,Elite Eats argues that FoodMasters used their brand name inappropriately.,FoodMasters denies the breach, claiming all branding was within the agreed terms.,Injunction against misuse of the brand name and compensation for damages.
CS(COMM) 2024/12134,Hon. Justice Arvind Patel,"May 1-5, 2025",Dispute Over Licensing Agreement and Patent Rights,Innovate Tech Ltd.,Mishra & Co. Legal,FutureTech Ltd.,Mishra & Co. Legal,Licensing Agreement,,Whether FutureTech violated patent rights through unauthorized use.,Innovate Tech claims FutureTech infringed on their patents.,FutureTech denies infringement, asserting their technology is independently developed.,Injunction against further use of the patented technology and compensation for damages.
CS(COMM) 2024/12678,Hon. Justice Ramesh Gupta,"May 10-15, 2025",Breach of Service Agreement and Data Protection Violation,SecureData Ltd.,Kapoor & Co.,InfoTech Solutions Ltd.,Kapoor & Co.,Service Agreement,,Whether InfoTech Solutions failed to protect data as required by the service agreement.,SecureData alleges InfoTech did not implement adequate data protection measures.,InfoTech denies the breach, asserting that they followed all required protocols.,Permanent injunction against further data breaches and compensation for damages.
CS(COMM) 2024/13123,Hon. Justice Pooja Verma,"May 20-25, 2025",Dispute Over Technology Transfer Agreement and Unauthorized Use,TechGlobal Ltd.,Agarwal & Associates,NextGen Technologies Ltd.,Agarwal & Associates,Technology Transfer,,Whether NextGen Technologies used transferred technology beyond the agreed terms.,TechGlobal claims unauthorized use of transferred technology.,NextGen Technologies denies the claim, stating all usage was within the agreement.,Compensation for unauthorized use and an injunction to prevent further misuse.
CS(COMM) 2024/13678,Hon. Justice Rajesh Mehta,"June 1-5, 2025",Breach of Licensing Agreement and Copyright Infringement,CreativeTech Ltd.,S. Patel & Associates,MediaWorks Ltd.,S. Patel & Associates,Licensing Agreement,,Whether MediaWorks infringed on CreativeTech's copyrights by unauthorized distribution.,CreativeTech argues MediaWorks distributed copyrighted content without permission.,MediaWorks denies infringement, claiming all content was licensed.,Permanent injunction against further distribution of copyrighted content and damages.
CS(COMM) 2024/14123,Hon. Justice Rajiv Sharma,"June 10-15, 2025",Dispute Over Real Estate Lease Agreement and Property Mismanagement,Urban Realty Ltd.,Rao & Co. Legal,GreenFields Ltd.,Rao & Co. Legal,Lease Agreement,,Whether GreenFields mismanaged the leased property as per the lease agreement.,Urban Realty claims GreenFields failed to maintain the property.,GreenFields denies mismanagement, asserting all maintenance was done according to lease terms.,Compensation for property damage and an injunction for future maintenance.
CS(COMM) 2024/14678,Hon. Justice Suman Rao,"June 20-25, 2025",Breach of Franchise Agreement and Unapproved Product Launch,Franchise Corp Ltd.,Nair & Associates,Food & Co. Ltd.,Nair & Associates,Franchise Agreement,,Whether Food & Co. launched unapproved products in violation of the franchise agreement.,Franchise Corp alleges unauthorized product launches by Food & Co.,Food & Co. denies the breach, stating all products were approved.,Injunction against further unapproved launches and compensation for damages.
CS(COMM) 2024/15123,Hon. Justice Anil Sharma,"July 1-5, 2025",Dispute Over Supply Agreement and Quality Compliance,Logistics Partners Ltd.,Kapoor & Associates,SupplyChain Ltd.,Kapoor & Associates,Supply Agreement,,Whether SupplyChain failed to meet quality compliance under the supply agreement.,Logistics Partners argues that supplied goods did not meet quality standards.,SupplyChain denies the breach, claiming all goods were compliant.,Compensation for non-compliance and an injunction for future supply standards.
